"id";"wachstum_in_10d";"wachstums_bedingungen";"anzahl_tentakel";"opfer";"farbe";"gewicht_g";"opfergroesse_cm";"wachstum_in_30d"
"1";1;10.0892562823371;"Sonnenlicht";13;"Maus";"helles giftgrün";297.620526560509;119.23655180752;41.1663322122532
"2";2;6.68529751318071;"Sonnenlicht";13;"Maus";"helles giftgrün";294.005919493088;119.664800978702;30.9263022565603
"3";3;13.6592224721646;"Sonnenlicht";16;"Maus";"helles giftgrün";277.279766471873;127.600692310919;39.5321663656891
"4";4;12.1128659678069;"Sonnenlicht";18;"Maus";"helles giftgrün";250.588924239273;133.899588585345;38.4846086576463
"5";5;11.5006744485019;"Sonnenlicht";13;"Maus";"helles giftgrün";298.786127052332;119.008008654222;55.3031630270234
"6";6;12.5329032988723;"Sonnenlicht";9;"Maus";"helles giftgrün";321.28159302198;106.821947511758;44.8629566811884
"7";7;12.469904672347;"Sonnenlicht";9;"Maus";"helles giftgrün";314.18334634091;106.833761080969;43.7154619611613
"8";8;13.5636998585081;"Sonnenlicht";16;"Maus";"helles giftgrün";268.492047420363;127.620195346112;41.3266492944915
"9";9;11.3033907889493;"Sonnenlicht";13;"Maus";"helles giftgrün";294.345932987178;119.041750175042;39.6332501627654
"10";10;12.5530195127387;"Sonnenlicht";17;"Maus";"helles giftgrün";257.425777428758;130.818162758346;41.6202454329213
"11";11;10.9776830417141;"Sonnenlicht";11;"Maus";"helles giftgrün";304.777098746427;113.096178562767;43.0237982918073
"12";12;15.4261923563095;"Sonnenlicht";12;"Maus";"helles giftgrün";307.665214086968;115.215244420396;50.3708761044521
"13";13;13.1888691182281;"Sonnenlicht";13;"Maus";"helles giftgrün";297.657751767036;118.695402985367;48.6741793828094
"14";14;11.6128527159204;"Sonnenlicht";11;"Maus";"helles giftgrün";308.009406125587;112.988562388488;37.6452223619714
"15";15;11.5560884332423;"Sonnenlicht";16;"Maus";"helles giftgrün";274.609739995966;127.998426150923;49.6991717811316
"16";16;17.1899172855209;"Sonnenlicht";19;"Ratte";"helles giftgrün";249.437440494018;135.783800577877;46.8095548341079
"17";17;9.75123194913621;"Sonnenlicht";15;"Ratte";"helles giftgrün";270.949478399894;125.286851066056;39.9838510234013
"18";18;13.296079264631;"Sonnenlicht";17;"Ratte";"helles giftgrün";265.244585300363;130.674107071415;41.6171477837726
"19";19;13.1491010260045;"Sonnenlicht";17;"Ratte";"helles giftgrün";274.229556295178;130.703258566559;38.6962869738069
"20";20;14.2630711438252;"Sonnenlicht";13;"Ratte";"helles giftgrün";297.990026454251;118.474236011596;43.2069639522478
"21";21;13.5200181169301;"Sonnenlicht";19;"Kaninchen";"helles giftgrün";250.082266958998;136.629068325884;45.6026765102986
"22";22;15.1614350795507;"Sonnenlicht";16;"Kaninchen";"helles blaugrün";273.150320425887;127.275981647464;46.1193020391201
"23";23;14.3324894295033;"Sonnenlicht";12;"Kaninchen";"helles blaugrün";304.468123485245;115.459348100649;53.9133282607374
"24";24;19.6014935790942;"Baumschatten";16;"Kaninchen";"helles blaugrün";270.840423936331;126.118360871015;46.0157930108069
"25";25;23.3228618979718;"Baumschatten";18;"Kaninchen";"helles blaugrün";253.144069507172;130.920330846661;59.0298108845291
"26";26;19.5325007536329;"Baumschatten";15;"Kaninchen";"helles blaugrün";283.879521842986;123.13861060732;49.5486627249218
"27";27;22.7771365184509;"Baumschatten";19;"Kaninchen";"helles blaugrün";240.161115076916;134.109015390149;53.0833677209456
"28";28;19.0584831995346;"Baumschatten";17;"Kaninchen";"helles blaugrün";267.529680050447;129.275806635998;58.8951137089876
"29";29;20.509841203763;"Baumschatten";12;"Kaninchen";"helles blaugrün";298.55473197905;113.845098103473;43.0271855328713
"30";30;22.2236701654869;"Baumschatten";20;"Kaninchen";"helles blaugrün";241.870446979987;137.295813632817;53.9659150831595
"31";31;18.0583343390433;"Baumschatten";12;"Kaninchen";"helles blaugrün";292.95670283729;114.554224206745;53.1498250531246
"32";32;20.5244585831991;"Baumschatten";17;"Kaninchen";"helles blaugrün";262.732246113623;128.840599498999;40.0568288407638
"33";33;20.7122971862155;"Baumschatten";16;"Kaninchen";"helles blaugrün";274.162044084176;125.782505589524;54.4432779671615
"34";34;18.9910309547531;"Baumschatten";16;"Ratte";"helles blaugrün";273.795677099677;126.295055574567;49.099664237523
"35";35;18.4017858063769;"Baumschatten";19;"Ratte";"helles blaugrün";245.790545935248;135.460307093522;52.5826768553656
"36";36;18.0238659724015;"Baumschatten";17;"Ratte";"helles blaugrün";264.035473885578;129.563551915567;22.5115764263262
"37";37;21.1058097877663;"Baumschatten";18;"Ratte";"helles blaugrün";252.09478212739;131.65908594902;27.4171324434616
"38";38;18.4545752544799;"Baumschatten";14;"Ratte";"helles blaugrün";289.346220663665;120.445714891326;18.4236528032222
"39";39;21.0226172009119;"Baumschatten";24;"Ratte";"helles blaugrün";195.141266253129;149.685371745179;28.3512095295259
"40";40;18.2071746100971;"Baumschatten";12;"Ratte";"helles blaugrün";290.941068586799;114.513740945381;23.1061554114079
"41";41;22.3264849997898;"Baumschatten";19;"Ratte";"helles blaugrün";245.556183026144;134.261460506656;22.9400170098372
"42";42;21.2248241003024;"Baumschatten";18;"Ratte";"helles blaugrün";252.924070114461;131.621301314334;22.0057811701279
"43";43;18.848718513162;"Baumschatten";14;"Ratte";"helles blaugrün";294.747602958627;120.335443578087;20.8151496608982
"44";44;19.0708072419663;"Baumschatten";14;"Ratte";"helles blaugrün";285.66281617691;120.272282333548;26.7000487962161
"45";45;18.3217223159936;"Baumschatten";15;"Ratte";"helles blaugrün";278.754392863185;123.482358685317;23.4759436687043
"46";46;22.9209409232045;"Baumschatten";19;"Maus";"helles blaugrün";246.045297320243;134.059728503962;31.8260658781997
"47";47;17.6128931530035;"Baumschatten";15;"Maus";"helles blaugrün";273.662666551682;123.673394960857;23.145530203902
"48";48;15.0968206985963;"Baumschatten";12;"Maus";"weißgrün";298.155875475269;115.290645035958;17.5957578425545
"49";49;17.5279318019923;"Baumschatten";14;"Maus";"weißgrün";285.053034764841;120.695787050585;23.054163919477
"50";50;20.8150031684875;"Baumschatten";16;"Maus";"weißgrün";268.346011738757;125.750517323219;22.1109309936836
"51";51;38.9374253988387;"Baumschatten";29;"Kaninchen";"weißgrün";124.709164187607;156.629076774824;45.0563200716288
"52";52;39.9859264788569;"Baumschatten";28;"Kaninchen";"weißgrün";150.61259427488;153.008442627206;47.1136175427373
"53";53;40.6934057995557;"Baumschatten";35;"Kaninchen";"weißgrün";25.6178048552047;173.580350433245;50.0201312788445
"54";54;40.906521860944;"feuchter Keller";31;"Kaninchen";"weißgrün";94.9057134623011;161.449923519301;45.4286583977649
"55";55;41.9136858749319;"feuchter Keller";29;"Kaninchen";"weißgrün";132.00609759034;154.824322022831;46.4695472926659
"56";56;41.1975330989516;"feuchter Keller";25;"Kaninchen";"weißgrün";182.78596901159;143.270724499206;43.9756310203024
"57";57;41.9666152183551;"feuchter Keller";29;"Kaninchen";"weißgrün";131.165126566144;154.791024053359;41.921364855058
"58";58;43.245688032588;"feuchter Keller";27;"Kaninchen";"weißgrün";160.499000277819;147.973578499411;47.7692856528471
"59";59;39.3509733059604;"feuchter Keller";26;"Kaninchen";"weißgrün";168.277142478695;147.386256749052;43.4971004160574
"60";60;41.7433774650001;"feuchter Keller";30;"Kaninchen";"weißgrün";108.93511782793;157.931178283609;39.5762834856886
"61";61;42.5038036369734;"feuchter Keller";29;"Kaninchen";"weißgrün";122.884631638333;154.450700072922;45.4444854469675
"62";62;39.6285209197234;"feuchter Keller";26;"Kaninchen";"weißgrün";165.741979145927;147.221852472863;46.7852511559791
"63";63;41.5362710267129;"feuchter Keller";31;"Kaninchen";"weißgrün";102.251460782078;161.060536418966;43.7139692428608
"64";64;37.3857119428918;"feuchter Keller";27;"Kaninchen";"weißgrün";156.921069328714;151.517314068923;42.4161129096429
"65";65;42.2305356479313;"feuchter Keller";24;"Kaninchen";"weißgrün";196.715524035932;139.624363941666;44.8933298872081
"66";66;39.1963117616905;"feuchter Keller";22;"Kaninchen";"weißgrün";217.725313764696;135.477368582103;45.4461991570541
"67";67;39.1379020173174;"feuchter Keller";27;"Kaninchen";"weißgrün";158.018979467808;150.511684692621;45.7131926405373
"68";68;43.0133415080062;"feuchter Keller";27;"Kaninchen";"weißgrün";155.032424600257;148.123893392367;55.4290268321621
"69";69;40.5315029436376;"feuchter Keller";24;"Ratte";"weißgrün";189.218703436092;140.678979518474;41.9950109958961
"70";70;43.1245215612759;"feuchter Keller";28;"Ratte";"weißgrün";135.351698421047;151.052067300833;45.725880200949
"71";71;42.865506815152;"feuchter Keller";30;"Ratte";"weißgrün";109.778101297403;157.219112441101;50.4241398448481
"72";72;40.4042024328566;"feuchter Keller";26;"Ratte";"weißgrün";163.569883118526;146.756253193236;41.6290619842033
"73";73;42.6329392951272;"feuchter Keller";33;"Ratte";"weißgrün";67.0629675193429;166.368243652935;43.3546709214175
"74";74;38.6730078747673;"feuchter Keller";22;"Ratte";"weißgrün";210.716090863555;135.782988464386;44.9511868870203
"75";75;38.8501885413148;"feuchter Keller";24;"Ratte";"weißgrün";188.34054603008;141.679971377282;48.8484198744953
"76";76;29.8259548290043;"feuchter Keller";22;"Ratte";"weißgrün";218.75915855805;140.328093139036;32.2431538409776
"77";77;26.0257839811181;"feuchter Keller";20;"Ratte";"weißgrün";238.310932991334;135.919939261261;33.804244570779
"78";78;26.679490463585;"feuchter Keller";18;"Ratte";"weißgrün";259.134741421686;129.661535914526;30.6117735817356
"79";79;26.691521909381;"Eisfach";16;"Ratte";"weißgrün";270.399740177085;123.656719936208;34.4920488744971
"80";80;28.3163407849123;"Eisfach";23;"Ratte";"weißgrün";205.362020161408;143.986386334145;36.4143968540834
"81";81;28.2891603385193;"Eisfach";21;"Ratte";"weißgrün";224.985307447144;137.997925555062;36.6690482657132
"82";82;25.9590585581865;"Eisfach";23;"Ratte";"weißgrün";206.523029103744;144.945954590795;35.5979118328328
"83";83;29.520468082091;"Eisfach";22;"Ratte";"weißgrün";212.397121173238;140.464064731607;32.1829642990196
"84";84;29.8141426297337;"Eisfach";23;"Ratte";"weißgrün";210.991349271896;143.333376744404;35.4938843656835
"85";85;29.3349344267868;"Eisfach";21;"Ratte";"weißgrün";224.193043744853;137.545962166321;35.5685998525207
"86";86;26.0426107244615;"Eisfach";20;"Maus";"weißgrün";245.890721829016;135.913368199906;30.5882327955539
"87";87;28.3545885568408;"Eisfach";24;"Maus";"weißgrün";197.224669264934;146.970129808292;34.8176058369892
"88";88;29.5912227258232;"Eisfach";24;"Maus";"weißgrün";186.580308131828;146.43269653193;30.2740216603488
"89";89;25.5200478810069;"Eisfach";17;"Maus";"weißgrün";267.224139966425;127.115453671133;34.6062163548888
"90";90;28.6387324690872;"Eisfach";20;"Maus";"weißgrün";231.853692660839;134.84867251923;33.4987979711685
"91";91;26.114036679846;"Eisfach";19;"Kaninchen";"weißgrün";247.316518188965;132.885428162127;29.9424934630014
"92";92;27.5231354095988;"Eisfach";20;"Kaninchen";"helles giftgrün";231.899092428183;135.318577629187;34.6397130496398
"93";93;29.8220363279594;"Eisfach";19;"Kaninchen";"helles giftgrün";246.854727880423;131.329846119404;34.9650994221696
"94";94;32.2842831370719;"Eisfach";20;"Kaninchen";"helles giftgrün";237.53185055853;133.18293796744;31.7319828315796
"95";95;25.2052811066365;"Eisfach";19;"Kaninchen";"helles giftgrün";251.99385145578;133.235203532516;33.0268321819397
"96";96;25.7739787407744;"Eisfach";17;"Kaninchen";"helles giftgrün";262.196378429725;127.017765149026;32.0227371591833
"97";97;27.7974974512871;"Eisfach";21;"Kaninchen";"helles blaugrün";222.781516549881;138.204743515843;35.7874318356373
"98";98;28.999376531919;"Eisfach";22;"Kaninchen";"helles blaugrün";213.310786293714;140.6927712057;36.3890369086747
"99";99;28.1889976134365;"Eisfach";21;"Kaninchen";"helles blaugrün";229.342017429442;138.040353101623;37.0260859637021
"100";100;24.4023324502506;"Eisfach";24;"Kaninchen";"helles blaugrün";192.613830553899;148.533946282406;30.8578215032354
