"id","fruchtgroesse_mm","ethioningehalt","bewertung_geruch","wachstums_bedingungen","stacheldichte","fruchtfarbe"
"1",1,10.2233321805128,10,0.9,"starkes Sonneneinstrahlung",34.393599737156,"hellgrün"
"2",2,11.7519425959773,14,-2.3,"starkes Sonneneinstrahlung",18.9087847058341,"hellgrün"
"3",3,13.5240206749544,20,-6.8,"starkes Sonneneinstrahlung",33.2462048359406,"hellgrün"
"4",4,7.6861579940077,18,-4.4,"starkes Sonneneinstrahlung",25.3386222305642,"hellgrün"
"5",5,14.7472555456103,22,-7.6,"starkes Sonneneinstrahlung",20.0656679634854,"hellgrün"
"6",6,12.1677386142965,14,0.1,"starkes Sonneneinstrahlung",30.8319216315126,"hellgrün"
"7",7,11.9165749932605,20,-7.7,"starkes Sonneneinstrahlung",21.9386084268372,"hellgrün"
"8",8,13.4658556231962,9,3.4,"starkes Sonneneinstrahlung",29.3918678742005,"dunkelgrün"
"9",9,10.8243265229903,15,-6.3,"starkes Sonneneinstrahlung",22.7703209506168,"dunkelgrün"
"10",10,13.2022415001931,18,-4.4,"starkes Sonneneinstrahlung",25.2734929208929,"dunkelgrün"
"11",11,11.7142244968358,22,-6.3,"starkes Sonneneinstrahlung",32.6211677034971,"dunkelgrün"
"12",12,12.0617721532339,13,-0.8,"starkes Sonneneinstrahlung",26.5074294944073,"dunkelgrün"
"13",13,14.8787386119494,16,-5.2,"starkes Sonneneinstrahlung",31.1696848087306,"dunkelgrün"
"14",14,11.4732106946672,19,-3.1,"starkes Sonneneinstrahlung",27.0109272399392,"dunkelgrün"
"15",15,10.3938589266015,22,-6.4,"starkes Sonneneinstrahlung",24.9451501377579,"dunkelgrün"
"16",16,9.91770490724151,17,-4.9,"starkes Sonneneinstrahlung",17.2420391498208,"dunkelgrün"
"17",17,12.4156257125986,14,-1.5,"starkes Sonneneinstrahlung",26.5779591061687,"dunkelgrün"
"18",18,12.912034022849,17,-2.8,"starkes Sonneneinstrahlung",28.8066079259361,"dunkelgrün"
"19",19,13.2155772773716,24,-8.6,"starkes Sonneneinstrahlung",12.9633986009615,"dunkelgrün"
"20",20,12.204787444638,9,1.8,"starkes Sonneneinstrahlung",25.6317689634826,"dunkelgrün"
"21",21,10.1076503274302,11,0,"starkes Sonneneinstrahlung",28.9327004402247,"dunkelgrün"
"22",22,13.1448782982118,23,-9.4,"starkes Sonneneinstrahlung",15.3718041113378,"dunkelgrün"
"23",23,13.3224313069365,14,0.3,"starkes Sonneneinstrahlung",33.671765979173,"dunkelgrün"
"24",24,20.5620397571258,16,-2.8,"starkes Sonneneinstrahlung",29.4823556143568,"dunkelgrün"
"25",25,19.601281265555,16,-1.4,"starkes Sonneneinstrahlung",28.6097316779684,"dunkelgrün"
"26",26,19.1434637889823,11,4.8,"Halbschatten",42.0341914794221,"dunkelgrün"
"27",27,20.1738541872745,11,-3.9,"Halbschatten",26.8806570157085,"dunkelgrün"
"28",28,20.7881157034006,14,2.4,"Halbschatten",27.4471681371655,"dunkelgrün"
"29",29,17.3891714296779,18,-7.8,"Halbschatten",18.8706774502654,"graugrün"
"30",30,20.6963646250483,11,0.8,"Halbschatten",31.958829345842,"graugrün"
"31",31,18.462968319615,9,-1,"Halbschatten",34.5941440371236,"graugrün"
"32",32,18.1451474844702,20,-3.2,"Halbschatten",27.9353393715408,"graugrün"
"33",33,23.0941419764867,15,-0.9,"Halbschatten",30.542702423461,"graugrün"
"34",34,20.2945839095596,12,1.9,"Halbschatten",29.8044352914719,"graugrün"
"35",35,19.7856912517132,9,1.8,"Halbschatten",35.8442276964649,"graugrün"
"36",36,18.9073320284866,12,-2.1,"Halbschatten",4.32054143968989,"graugrün"
"37",37,20.5748171412715,10,0.1,"Halbschatten",7.205798040269,"graugrün"
"38",38,15.8098372588928,12,-2.2,"Halbschatten",7.32585233088476,"graugrün"
"39",39,18.191111537771,14,-0.5,"Halbschatten",6.38525485664015,"graugrün"
"40",40,19.8748046666853,18,-4.6,"Halbschatten",-2.13588988599352,"graugrün"
"41",41,18.9608968343745,15,-3.3,"Halbschatten",-3.35131702984021,"graugrün"
"42",42,19.8063968382671,18,-5,"Halbschatten",-1.37741090334874,"graugrün"
"43",43,23.7359811952041,14,-0.2,"Halbschatten",11.2117160983686,"graugrün"
