"id","fruchtgroesse_mm","ethioningehalt","bewertung_geruch","wachstums_bedingungen","stacheldichte","fruchtfarbe"
"1",1,28.2233321805128,10,18.9,"starkes Sonneneinstrahlung",52.393599737156,"hellgrün"
"2",2,29.7519425959773,14,15.7,"starkes Sonneneinstrahlung",36.9087847058341,"hellgrün"
"3",3,31.5240206749544,20,11.2,"starkes Sonneneinstrahlung",51.2462048359406,"hellgrün"
"4",4,25.6861579940077,18,13.6,"starkes Sonneneinstrahlung",43.3386222305642,"hellgrün"
"5",5,32.7472555456103,22,10.4,"starkes Sonneneinstrahlung",38.0656679634854,"hellgrün"
"6",6,30.1677386142965,14,18.1,"starkes Sonneneinstrahlung",48.8319216315126,"hellgrün"
"7",7,29.9165749932605,20,10.3,"starkes Sonneneinstrahlung",39.9386084268372,"hellgrün"
"8",8,31.4658556231962,9,21.4,"starkes Sonneneinstrahlung",47.3918678742005,"dunkelgrün"
"9",9,28.8243265229903,15,11.7,"starkes Sonneneinstrahlung",40.7703209506168,"dunkelgrün"
"10",10,31.2022415001931,18,13.6,"starkes Sonneneinstrahlung",43.2734929208929,"dunkelgrün"
"11",11,29.7142244968358,22,11.7,"starkes Sonneneinstrahlung",50.6211677034971,"dunkelgrün"
"12",12,30.0617721532339,13,17.2,"starkes Sonneneinstrahlung",44.5074294944073,"dunkelgrün"
"13",13,32.8787386119494,16,12.8,"starkes Sonneneinstrahlung",49.1696848087306,"dunkelgrün"
"14",14,29.4732106946672,19,14.9,"starkes Sonneneinstrahlung",45.0109272399392,"dunkelgrün"
"15",15,28.3938589266015,22,11.6,"starkes Sonneneinstrahlung",42.9451501377579,"dunkelgrün"
"16",16,27.9177049072415,17,13.1,"starkes Sonneneinstrahlung",35.2420391498208,"dunkelgrün"
"17",17,30.4156257125986,14,16.5,"starkes Sonneneinstrahlung",44.5779591061687,"dunkelgrün"
"18",18,30.912034022849,17,15.2,"starkes Sonneneinstrahlung",46.8066079259361,"dunkelgrün"
"19",19,31.2155772773716,24,9.4,"starkes Sonneneinstrahlung",30.9633986009615,"dunkelgrün"
"20",20,30.204787444638,9,19.8,"starkes Sonneneinstrahlung",43.6317689634826,"dunkelgrün"
"21",21,28.1076503274302,11,18,"starkes Sonneneinstrahlung",46.9327004402247,"dunkelgrün"
"22",22,31.1448782982118,23,8.6,"starkes Sonneneinstrahlung",33.3718041113378,"dunkelgrün"
"23",23,31.3224313069365,14,18.3,"starkes Sonneneinstrahlung",51.671765979173,"dunkelgrün"
"24",24,38.5620397571258,16,15.2,"starkes Sonneneinstrahlung",47.4823556143568,"dunkelgrün"
"25",25,37.601281265555,16,16.6,"starkes Sonneneinstrahlung",46.6097316779684,"dunkelgrün"
"26",26,37.1434637889823,11,22.8,"Halbschatten",60.0341914794221,"dunkelgrün"
"27",27,38.1738541872745,11,14.1,"Halbschatten",44.8806570157085,"dunkelgrün"
"28",28,38.7881157034006,14,20.4,"Halbschatten",45.4471681371655,"dunkelgrün"
