id,fruchtgroesse_mm,ethioningehalt,bewertung_geruch,wachstums_bedingungen,stacheldichte,fruchtfarbe
1,18.2233321805128,10,8.9,starkes Sonneneinstrahlung,42.393599737156,hellgrün
2,19.7519425959773,14,5.7,starkes Sonneneinstrahlung,26.9087847058341,hellgrün
3,21.5240206749544,20,1.2,starkes Sonneneinstrahlung,41.2462048359406,hellgrün
4,15.6861579940077,18,3.6,starkes Sonneneinstrahlung,33.3386222305642,hellgrün
5,22.7472555456103,22,0.4,starkes Sonneneinstrahlung,28.0656679634854,hellgrün
6,20.1677386142965,14,8.1,starkes Sonneneinstrahlung,38.8319216315126,hellgrün
7,19.9165749932605,20,0.3,starkes Sonneneinstrahlung,29.9386084268372,hellgrün
8,21.4658556231962,9,11.4,starkes Sonneneinstrahlung,37.3918678742005,dunkelgrün
9,18.8243265229903,15,1.7,starkes Sonneneinstrahlung,30.7703209506168,dunkelgrün
10,21.2022415001931,18,3.6,starkes Sonneneinstrahlung,33.2734929208929,dunkelgrün
11,19.7142244968358,22,1.7,starkes Sonneneinstrahlung,40.6211677034971,dunkelgrün
12,20.0617721532339,13,7.2,starkes Sonneneinstrahlung,34.5074294944073,dunkelgrün
13,22.8787386119494,16,2.8,starkes Sonneneinstrahlung,39.1696848087306,dunkelgrün
14,19.4732106946672,19,4.9,starkes Sonneneinstrahlung,35.0109272399392,dunkelgrün
15,18.3938589266015,22,1.6,starkes Sonneneinstrahlung,32.9451501377579,dunkelgrün
16,17.9177049072415,17,3.1,starkes Sonneneinstrahlung,25.2420391498208,dunkelgrün
17,20.4156257125986,14,6.5,starkes Sonneneinstrahlung,34.5779591061687,dunkelgrün
18,20.912034022849,17,5.2,starkes Sonneneinstrahlung,36.8066079259361,dunkelgrün
19,21.2155772773716,24,0.6,starkes Sonneneinstrahlung,20.9633986009615,dunkelgrün
20,20.204787444638,9,9.8,starkes Sonneneinstrahlung,33.6317689634826,dunkelgrün
21,18.1076503274302,11,8,starkes Sonneneinstrahlung,36.9327004402247,dunkelgrün
22,21.1448782982118,23,1.4,starkes Sonneneinstrahlung,23.3718041113378,dunkelgrün
23,21.3224313069365,14,8.3,starkes Sonneneinstrahlung,41.671765979173,dunkelgrün
24,28.5620397571258,16,5.2,starkes Sonneneinstrahlung,37.4823556143568,dunkelgrün
25,27.601281265555,16,6.6,starkes Sonneneinstrahlung,36.6097316779684,dunkelgrün
26,27.1434637889823,11,12.8,Halbschatten,50.0341914794221,dunkelgrün
27,28.1738541872745,11,4.1,Halbschatten,34.8806570157085,dunkelgrün
28,28.7881157034006,14,10.4,Halbschatten,35.4471681371655,dunkelgrün
29,25.3891714296779,18,0.2,Halbschatten,26.8706774502654,graugrün
30,28.6963646250483,11,8.8,Halbschatten,39.958829345842,graugrün
31,26.462968319615,9,7,Halbschatten,42.5941440371236,graugrün
32,26.1451474844702,20,4.8,Halbschatten,35.9353393715408,graugrün
33,31.0941419764867,15,7.1,Halbschatten,38.542702423461,graugrün
34,28.2945839095596,12,9.9,Halbschatten,37.8044352914719,graugrün
35,27.7856912517132,9,9.8,Halbschatten,43.8442276964649,graugrün
36,26.9073320284866,12,5.9,Halbschatten,12.3205414396899,graugrün
37,28.5748171412715,10,8.1,Halbschatten,15.205798040269,graugrün
38,23.8098372588928,12,5.8,Halbschatten,15.3258523308848,graugrün
39,26.191111537771,14,7.5,Halbschatten,14.3852548566401,graugrün
40,27.8748046666853,18,3.4,Halbschatten,5.86411011400648,graugrün
41,26.9608968343745,15,4.7,Halbschatten,4.64868297015979,graugrün
42,27.8063968382671,18,3,Halbschatten,6.62258909665126,graugrün
