"id","fellfarbe","groesse","art","opfer","gewicht_kg","landschaft","sex","hauerlaenge"
"1",1,"weiß",212,"Yeti","Tourist",659.07,"Hochgebirge","weiblich",1678.39655064431
"2",2,"weiß",176,"Yeti","Tourist",629.44,"Hochgebirge","weiblich",1816.8480250618
"3",3,"weiß",209,"Yeti","Tourist",693.82,"Hochgebirge","weiblich",1667.9650271044
"4",4,"weiß",258,"Yeti","Tourist",785.76,"Hochgebirge","weiblich",1284.22350637591
"5",5,"weiß",242,"Yeti","Tourist",725.2,"Hochgebirge","weiblich",1377.05413383964
"6",6,"weiß",197,"Yeti","Tourist",667,"Hochgebirge","weiblich",1771.63506940949
"7",7,"weiß",236,"Yeti","Tourist",716.52,"Hochgebirge","weiblich",1497.26447705963
"8",8,"weiß",226,"Yeti","Tourist",689.62,"Hochgebirge","weiblich",1538.55681273402
"9",9,"weiß",228,"Yeti","Tourist",690.4,"Hochgebirge","weiblich",1509.45142665092
"10",10,"weiß",243,"Yeti","Tourist",754.03,"Hochgebirge","weiblich",1406.80105929827
"11",11,"weiß",223,"Yeti","Tourist",707.02,"Hochgebirge","weiblich",1560.25673454571
"12",12,"weiß",222,"Yeti","Tourist",696.16,"Hochgebirge","weiblich",1522.21438568719
"13",13,"weiß",244,"Yeti","Tourist",725.41,"Hochgebirge","weiblich",1425.33517070442
"14",14,"weiß",249,"Yeti","Geologe",738.5,"Hochgebirge","unbest.",1378.35876364462
"15",15,"weiß",265,"Yeti","Geologe",777.17,"Hochgebirge","unbest.",1108.49090222589
"16",16,"weiß",236,"Yeti","Geologe",740.39,"Hochgebirge","unbest.",1486.59781993664
"17",17,"weiß",258,"Yeti","Geologe",765.9,"Hochgebirge","unbest.",1286.8107057975
"18",18,"weiß",314,"Yeti","Geologe",867.47,"Hochgebirge","unbest.",371.915650145199
"19",19,"weiß",241,"Yeti","Geologe",741.59,"Hochgebirge","unbest.",1446.98648622317
"20",20,"weiß",229,"Yeti","Geologe",700.96,"Hochgebirge","unbest.",1529.74810809815
"21",21,"weiß",254,"Yeti","Geologe",755.57,"Hochgebirge","unbest.",1338.67599108108
"22",22,"beige",236,"Yeti","Geologe",725.51,"Hochgebirge","unbest.",1489.28446042455
"23",23,"beige",283,"Yeti","Geologe",819.86,"Hochgebirge","unbest.",963.245852612998
"24",24,"beige",171,"Yeti","Geologe",603.08,"Hochgebirge","männlich",1831.36137867508
"25",25,"beige",244,"Yeti","Geologe",764.95,"Hochgebirge","männlich",1358.24182374304
"26",26,"beige",268,"Yeti","Geologe",775.12,"Hochgebirge","männlich",1206.24667735137
"27",27,"beige",280,"Yeti","Geologe",799.02,"Hochgebirge","männlich",1029.74900008137
