"id","wachstum_in_10d","wachstums_bedingungen","anzahl_tentakel","opfer","farbe","gewicht_g","opfergroesse_cm","wachstum_in_30d"
"1",1,12.0892562823371,"Sonnenlicht",13,"Maus","helles giftgrün",299.620526560509,121.23655180752,43.1663322122532
"2",2,8.68529751318071,"Sonnenlicht",13,"Maus","helles giftgrün",296.005919493088,121.664800978702,32.9263022565603
"3",3,15.6592224721646,"Sonnenlicht",16,"Maus","helles giftgrün",279.279766471873,129.600692310919,41.5321663656891
"4",4,14.1128659678069,"Sonnenlicht",18,"Maus","helles giftgrün",252.588924239273,135.899588585345,40.4846086576463
"5",5,13.5006744485019,"Sonnenlicht",13,"Maus","helles giftgrün",300.786127052332,121.008008654222,57.3031630270234
"6",6,14.5329032988723,"Sonnenlicht",9,"Maus","helles giftgrün",323.28159302198,108.821947511758,46.8629566811884
"7",7,14.469904672347,"Sonnenlicht",9,"Maus","helles giftgrün",316.18334634091,108.833761080969,45.7154619611613
"8",8,15.5636998585081,"Sonnenlicht",16,"Maus","helles giftgrün",270.492047420363,129.620195346112,43.3266492944915
"9",9,13.3033907889493,"Sonnenlicht",13,"Maus","helles giftgrün",296.345932987178,121.041750175042,41.6332501627654
"10",10,14.5530195127387,"Sonnenlicht",17,"Maus","helles giftgrün",259.425777428758,132.818162758346,43.6202454329213
"11",11,12.9776830417141,"Sonnenlicht",11,"Maus","helles giftgrün",306.777098746427,115.096178562767,45.0237982918073
"12",12,17.4261923563095,"Sonnenlicht",12,"Maus","helles giftgrün",309.665214086968,117.215244420396,52.3708761044521
"13",13,15.1888691182281,"Sonnenlicht",13,"Maus","helles giftgrün",299.657751767036,120.695402985367,50.6741793828094
"14",14,13.6128527159204,"Sonnenlicht",11,"Maus","helles giftgrün",310.009406125587,114.988562388488,39.6452223619714
"15",15,13.5560884332423,"Sonnenlicht",16,"Maus","helles giftgrün",276.609739995966,129.998426150923,51.6991717811316
"16",16,19.1899172855209,"Sonnenlicht",19,"Ratte","helles giftgrün",251.437440494018,137.783800577877,48.8095548341079
"17",17,11.7512319491362,"Sonnenlicht",15,"Ratte","helles giftgrün",272.949478399894,127.286851066056,41.9838510234013
"18",18,15.296079264631,"Sonnenlicht",17,"Ratte","helles giftgrün",267.244585300363,132.674107071415,43.6171477837726
"19",19,15.1491010260045,"Sonnenlicht",17,"Ratte","helles giftgrün",276.229556295178,132.703258566559,40.6962869738069
"20",20,16.2630711438252,"Sonnenlicht",13,"Ratte","helles giftgrün",299.990026454251,120.474236011596,45.2069639522478
"21",21,15.5200181169301,"Sonnenlicht",19,"Kaninchen","helles giftgrün",252.082266958998,138.629068325884,47.6026765102986
"22",22,17.1614350795507,"Sonnenlicht",16,"Kaninchen","helles blaugrün",275.150320425887,129.275981647464,48.1193020391201
"23",23,16.3324894295033,"Sonnenlicht",12,"Kaninchen","helles blaugrün",306.468123485245,117.459348100649,55.9133282607374
"24",24,21.6014935790942,"Baumschatten",16,"Kaninchen","helles blaugrün",272.840423936331,128.118360871015,48.0157930108069
"25",25,25.3228618979718,"Baumschatten",18,"Kaninchen","helles blaugrün",255.144069507172,132.920330846661,61.0298108845291
"26",26,21.5325007536329,"Baumschatten",15,"Kaninchen","helles blaugrün",285.879521842986,125.13861060732,51.5486627249218
"27",27,24.7771365184509,"Baumschatten",19,"Kaninchen","helles blaugrün",242.161115076916,136.109015390149,55.0833677209456
"28",28,21.0584831995346,"Baumschatten",17,"Kaninchen","helles blaugrün",269.529680050447,131.275806635998,60.8951137089876
"29",29,22.509841203763,"Baumschatten",12,"Kaninchen","helles blaugrün",300.55473197905,115.845098103473,45.0271855328713
"30",30,24.2236701654869,"Baumschatten",20,"Kaninchen","helles blaugrün",243.870446979987,139.295813632817,55.9659150831595
"31",31,20.0583343390433,"Baumschatten",12,"Kaninchen","helles blaugrün",294.95670283729,116.554224206745,55.1498250531246
"32",32,22.5244585831991,"Baumschatten",17,"Kaninchen","helles blaugrün",264.732246113623,130.840599498999,42.0568288407638
"33",33,22.7122971862155,"Baumschatten",16,"Kaninchen","helles blaugrün",276.162044084176,127.782505589524,56.4432779671615
"34",34,20.9910309547531,"Baumschatten",16,"Ratte","helles blaugrün",275.795677099677,128.295055574567,51.099664237523
"35",35,20.4017858063769,"Baumschatten",19,"Ratte","helles blaugrün",247.790545935248,137.460307093522,54.5826768553656
"36",36,20.0238659724015,"Baumschatten",17,"Ratte","helles blaugrün",266.035473885578,131.563551915567,24.5115764263262
"37",37,23.1058097877663,"Baumschatten",18,"Ratte","helles blaugrün",254.09478212739,133.65908594902,29.4171324434616
"38",38,20.4545752544799,"Baumschatten",14,"Ratte","helles blaugrün",291.346220663665,122.445714891326,20.4236528032222
"39",39,23.0226172009119,"Baumschatten",24,"Ratte","helles blaugrün",197.141266253129,151.685371745179,30.3512095295259
"40",40,20.2071746100971,"Baumschatten",12,"Ratte","helles blaugrün",292.941068586799,116.513740945381,25.1061554114079
"41",41,24.3264849997898,"Baumschatten",19,"Ratte","helles blaugrün",247.556183026144,136.261460506656,24.9400170098372
"42",42,23.2248241003024,"Baumschatten",18,"Ratte","helles blaugrün",254.924070114461,133.621301314334,24.0057811701279
"43",43,20.848718513162,"Baumschatten",14,"Ratte","helles blaugrün",296.747602958627,122.335443578087,22.8151496608982
"44",44,21.0708072419663,"Baumschatten",14,"Ratte","helles blaugrün",287.66281617691,122.272282333548,28.7000487962161
"45",45,20.3217223159936,"Baumschatten",15,"Ratte","helles blaugrün",280.754392863185,125.482358685317,25.4759436687043
"46",46,24.9209409232045,"Baumschatten",19,"Maus","helles blaugrün",248.045297320243,136.059728503962,33.8260658781997
"47",47,19.6128931530035,"Baumschatten",15,"Maus","helles blaugrün",275.662666551682,125.673394960857,25.145530203902
"48",48,17.0968206985963,"Baumschatten",12,"Maus","weißgrün",300.155875475269,117.290645035958,19.5957578425545
"49",49,19.5279318019923,"Baumschatten",14,"Maus","weißgrün",287.053034764841,122.695787050585,25.054163919477
"50",50,22.8150031684875,"Baumschatten",16,"Maus","weißgrün",270.346011738757,127.750517323219,24.1109309936836
"51",51,40.9374253988387,"Baumschatten",29,"Kaninchen","weißgrün",126.709164187607,158.629076774824,47.0563200716288
"52",52,41.9859264788569,"Baumschatten",28,"Kaninchen","weißgrün",152.61259427488,155.008442627206,49.1136175427373
"53",53,42.6934057995557,"Baumschatten",35,"Kaninchen","weißgrün",27.6178048552047,175.580350433245,52.0201312788445
"54",54,42.906521860944,"feuchter Keller",31,"Kaninchen","weißgrün",96.9057134623011,163.449923519301,47.4286583977649
"55",55,43.9136858749319,"feuchter Keller",29,"Kaninchen","weißgrün",134.00609759034,156.824322022831,48.4695472926659
"56",56,43.1975330989516,"feuchter Keller",25,"Kaninchen","weißgrün",184.78596901159,145.270724499206,45.9756310203024
"57",57,43.9666152183551,"feuchter Keller",29,"Kaninchen","weißgrün",133.165126566144,156.791024053359,43.921364855058
"58",58,45.245688032588,"feuchter Keller",27,"Kaninchen","weißgrün",162.499000277819,149.973578499411,49.7692856528471
"59",59,41.3509733059604,"feuchter Keller",26,"Kaninchen","weißgrün",170.277142478695,149.386256749052,45.4971004160574
"60",60,43.7433774650001,"feuchter Keller",30,"Kaninchen","weißgrün",110.93511782793,159.931178283609,41.5762834856886
"61",61,44.5038036369734,"feuchter Keller",29,"Kaninchen","weißgrün",124.884631638333,156.450700072922,47.4444854469675
"62",62,41.6285209197234,"feuchter Keller",26,"Kaninchen","weißgrün",167.741979145927,149.221852472863,48.7852511559791
"63",63,43.5362710267129,"feuchter Keller",31,"Kaninchen","weißgrün",104.251460782078,163.060536418966,45.7139692428608
"64",64,39.3857119428918,"feuchter Keller",27,"Kaninchen","weißgrün",158.921069328714,153.517314068923,44.4161129096429
"65",65,44.2305356479313,"feuchter Keller",24,"Kaninchen","weißgrün",198.715524035932,141.624363941666,46.8933298872081
