,"ND","SD"
"1",10,"10,3"
"2","9,2","9,8"
"3","20,9",22
"4","18,2","19,5"
"5","15,5","18,8"
"6","11,1","11,5"
"7","10,7","10,8"
"8","16,1","16,4"
"9","16,4",18
"10","8,9","9,5"
"11",8,"9,5"
"12","7,2","8,8"
"13","9,6",11
"14",9,"10,8"
"15",18,"18,5"
"16",19,"19,5"
"17",17,"17,5"
"18","16,2",17
"19",22,23
"20",14,15
"21","12,5","12,5"
"22",28,28
"23","10,4",12
"24","10,1","10,1"
"25",20,21
"26",28,28
"27","8,2",9
"28",8,"8,7"
"29","16,5",20
"30","9,2","10,8"
"31","10,1","11,2"
"32","8,5","10,3"
"33",17,19
"34",17,"17,2"
"35",17,18
"36","18,2","18,5"
"37","16,2","17,2"
"38","9,1",10
"39","8,8","9,9"
"40",18,"19,5"
"41","10,1",12
"42",14,17
"43","8,2","9,4"
"44",19,20
"45","9,8","11,8"
"46","10,5","9,9"
"47","8,4","8,4"
"48","9,3","9,5"
"49","10,2","11,1"
"50",18,"20,5"
"51","7,8",8
"52",8,"8,5"
"53","13,3","14,5"
"54","7,2","9,6"
"55",8,8
"56",15,"17,4"
"57","7,2","7,4"
"58",12,"12,3"
"59","12,4","13,4"
"60","6,2",7
