,"RD","ND","SD","H","NH","Phase"
"1","11,1",10,"10,3","5,5","2,5","Subapennine"
"2","9,5","9,2","9,8","4,8",2,"Subapennine"
"3","20,8","20,9",22,"9,5","3,8","Subapennine"
"4","19,5","18,2","19,5","8,8","2,7","Subapennine"
"5","15,5","15,5","18,8","9,8","3,2","Subapennine"
"6","11,7","11,1","11,5","3,8","1,4","Subapennine"
"7","10,8","10,7","10,8","3,5","1,7","Subapennine"
"8",15,"16,1","16,4","11,8","3,5","Subapennine"
"9","18,5","16,4",18,"10,5","4,8","Subapennine"
"10",11,"8,9","9,5","5,8","3,7","Subapennine"
"11",9,8,"9,5","5,8",3,"Subapennine"
"12",9,"7,2","8,8","7,4",4,"Subapennine"
"13","12,1","9,6",11,"6,4","4,7","Subapennine"
"14","10,7",9,"10,8","6,3",4,"Subapennine"
"15","19,5",18,"18,5","10,8","4,7","Subapennine"
"16",20,19,"19,5","10,6",5,"Subapennine"
"17",18,17,"17,5",9,"4,4","Subapennine"
"18",19,"16,2",17,8,"4,2","Subapennine"
"19",24,22,23,"7,7",3,"Subapennine"
"20","15,2",14,15,"3,5",3,"Subapennine"
"21","13,2","12,5","12,5","3,5","1,9","Subapennine"
"22","29,5",28,28,"9,5","3,5","Subapennine"
"23",12,"10,4",12,"4,8","2,2","Subapennine"
"24","10,1","10,1","10,1","4,3","1,8","Subapennine"
